,Usuario,Tweet
79,Rubenoscaraguir,"RT @PregoneroL: Estatista, dirigista, antiliberal, antiagro, pro sector público tamaño monstruo, pro empresaurios, pro impuestos, pro ñoqui…"
80,rzequiel8,@WolffWaldo @horaciorlarreta Larreta = K
81,salvevilma,RT @JMPresidente23: El comunista invotable e impresentable de Larreta @horaciorlarreta en su vida recorrió la Argentina. Lo hace ahora para…
82,lolitagoyen,"RT @cagnaccicamilo: ¿De qué transformación puede hablar Larreta, que no se le anima a Belliboni, financia las cooperativas que regentea Gra…"
83,jsarrion_,Tremendo este spot del actual jefe de gobierno de Buenos Aires Horacio Larreta de cara a las presidenciales en Arge… https://t.co/D73Q8YlnoI
84,Afg5228,"RT @javicaches: Interesante pieza de lanzamiento de Larreta-Se posiciona como moderado, anti-grieta-Antagoniza con CFK, pero también con…"
85,GabrielGarramu1,@jdoedoe101101 Sombrilla Larreta le decía hasta hace poco... Demasiado chanta
86,Joaquinno96,"RT @PregoneroL: Larreta es vicepresidente en LATAM del C40. Según sus documentos oficiales, los objetivos del C40 para el año 2030 son 0kg…"
87,PoleroAna,"RT @Diegofalcon: Rodríguez Larreta lidera la intención de voto y CFK es la que tiene mayor “techo” en el FdT, según una encuesta - Infobae…"
88,lange79,RT @Agustin_p_12345: Hace 3 años Larreta se alió con 2 enfermos mentales donde se les ocurrió aplicar una cuarentena carcelaria que fundió…
89,Maxiloaces,"@leandroglopez @CarlosMaslaton si, más lo que le pega Carlos cuando cobra de Massa o Larreta"
90,juju_picasso,"RT @Editor_76: Se están por cumplir cuatro años de la desaparición del policía de la Ciudad de Buenos Aires, Arshak Karhanya. Su familia lo…"
91,Ethos2020,@FelipeMiguelBA Vos sí que sos un iluminado. Larreta es peronista y amigo de Massa. Es más de lo mismo. Ustedes son una estafa.
92,felpudo_c,"RT @lxvneron: más allá del humo de la unión, la grieta y el bla bla de la campaña, yo creo que larreta es uno de los candidatos con mejores…"
93,GonzaBarrionew,"RT @jdoedoe101101: Massa, Larreta, es todo lo mismo. Lo entienden o todavía no?"
94,lena2x4,"@JuanbYofre @sonmas19 No tienen vergüenza. Soy de JxC, pero a Larreta no lo voto. No tiene uña de guitarrero."
95,Pamamaca,RT @marcalpalazzolo: 🔴Larreta quiere terminar la grieta con el kirchnerismo. Con el peor gobierno de la historia Argentina no se cierra nin…
96,NAagencia,"🗣️ En un paraje desértico del sur, #RodríguezLarreta lanzó su precandidatura presidencial.https://t.co/iKHFaG704D"
97,matiasOsi,RT @GuimonacoOk: Este señor nació casualmente en 1923Y si no fuera por ese tal Hora2023 hubiera muerto de viejo plácidamente y no suicidán…
98,ElBlogDeJC,"RT @ElBlogDeJC: LARRETA CON ASESORAMIENTO ASTROLOGICO""Casualmente"" lanzó su candidatura un día en que la Luna forma conjunción con Jupite…"
99,jlscollo,"Si Larreta gana la interna, lo tendré que votar aunque no me guste. Así que, no jodamos tanto con eso, porque ni en… https://t.co/oq4CHinjNY"
100,Gruncheska,Dice Larreta que https://t.co/1OtNXc09FF
101,thammy10,"RT @deperoncho: @JoacoMileinnial Sí, la ""ceremonia"" de venta fue cuando @DanannOficial estaba en la playa con Larreta.https://t.co/EyOZUk…"
102,AideJuarez14,"RT @BirmajerOk: Domingo pasado, en avenida Corrientes, en medio de un corso misérrimo, escucho a una murga llamando a votar a CFK y flagela…"
