,Usuario,Tweet
94,hassaan_45,RT @budfootball: Lionel Messi currently leads the 2022 @FIFAWorldCup in…⚽ 𝘎𝘰𝘢𝘭𝘴🅰️ 𝘈𝘴𝘴𝘪𝘴𝘵𝘴🏃‍♂️ 𝘋𝘳𝘪𝘣𝘣𝘭𝘦𝘴 🎯 𝘊𝘩𝘢𝘯𝘤𝘦𝘴 𝘤𝘳𝘦𝘢𝘵𝘦𝘥🛑 𝘍𝘰𝘶𝘭𝘴 𝘴𝘶𝘧𝘧𝘦…
95,Reuben374,RT @r_abongo: People don't have a problem with Argentina winning the World Cup...people have a problem with Lionel Messi winning the World…
96,Just_F0r_Funs,RT @TonyAsmith77: Woww.. Have you ever tried this Remote control anal plug vibrator  😱😱i can literally feel it go in and out......😳😳 Can'…
97,john___johnnn,@AlbicelesteTalk @scagliola_lucas But France will win Mbappe will win the cup Messi will win hearts
98,serebnikovv,RT @memgrizz: shoutout messi 🐐 https://t.co/8X2yOmTPoa
99,VraKsoor,@Maddito_ @_BeFootball Mais frérot a aucun moment Messi est le meilleur joueur de la cdm
100,demonsmug,RT @TheMrXOfficial: Los mejores jugadores actualmente se van a enfrentar en la final ¿A quién le van? ¿Argentina o Francia?¿Messi o Mbappe?…
101,Pattouuu,"RT @hadrien_grenier: Lionel Messi ou Kylian Mbappé, l’un de ces deux joueurs du PSG sera sacré champion du monde dimanche ! 🏆⏳"
102,iOliveiraO3,MESSI VAI FAZER 3 gols 👽🇦🇷
103,ayo_jonathanwtf,RT @TrujistaSancho: They’re expecting Mac Allister to go from balling out with Messi on the world stage to going back to Welbeck😭😭😭😭
104,NjobvuBright,I don’t know why y’all think there is only a Messi vs Ronaldo debate here but my man Mbappe is about Grab 2 world c… https://t.co/IeSfrIWUTZ
105,Highflyer757A,RT @espn: Messi and Argentina. Mbappé and France.THE WORLD CUP FINAL IS SET 🤩 https://t.co/GVN065O4v7
106,AlexXatzapost,"@hazfcb_ Messi will eat him alive, barring any surprises"
107,bridgerthon,"vamos messi, faça seu nome pela 82838848 vez, quero ver europeu chorando, desolado, triste"
108,iykedave11,RT @darius4_d: @UgwunnaEjikem This is exactly how those that hate you behave. They conjure things to rubbish you even though they are false…
109,MthWelcome,@DywiliZd @robertmarawa Messi has got 4 penalties this far.Siqayeke Bafo😀😀
110,CamilaLopes0612,RT @soyunargento: Messi yendo a jugar la revancha contra Mbappe en la final contra Francia https://t.co/BO7TqZKAVi
111,BENHE1S,@ovodayms Mbappe not getting past licha and Molina no one on France stopping Messi and di maria
112,iagofelipeh,Será uma final grandiosa. Uma Argentina muito sólida que cresceu muito durante a Copa contra essa França resiliente… https://t.co/SIxV6m0YXb
113,thompsonjoe2,To dey yan opata no dey tire u.. naso u stand behind Croatia so tey messi show u who him b.. we go dey here till su… https://t.co/3VR9sgumHV
114,carlitobraga12,@Gabriel12765310 vsf quero ver o messi chorando na final fodasse
115,capo_rojinegro,"RT @PacoMontesLA: Mbappé ya tiene las mismas asistencias y goles en #Qatar2022 que Messi, pero sin necesidad de 3 penales"
116,jfashion_khaled,RT @Opresii: Messi is Illuminati😳😳 all his fans are going to hell 🌚 https://t.co/TMsRHNM8TO
117,Ramii_SNM,"RT @bjs_alejo2: Ahora los hinchas del Real Madrid se la van a tener que chupar a Mbappe, que los rechazo y humillo para evitar que Messi se…"
118,TatianeSantos08,"Messi 😍😍😍😍, mas amo o Mbappé ahhhh q decisão 🔥🔥🔥🔥 https://t.co/SEd0jKF6qY"
119,BryanEdwar4,@elopi23 Vamos Messi
120,Hyugaa9,Messi elle est pour toi 🤲🏼🤲🏼🤲🏼Pour le bien du football stpFini moi cette carrière STRATOSPHÉRIQUE dans la meilleu… https://t.co/KHqEcNUV6r
121,SteveDrakeford,"RT @Shefali_oza: I’m not really into football except during the World Cup and I’ve got to say , yesterday’s goals by Messi and Alvarez were…"
122,22_frg,RT @ParlonsFootFCB: On en parle de l’arbitrage ou ça marche pas car Messi n’est pas français ?
123,Caazi__,"@_BeFootball Dans le jeu Griezmann, dans les stats Messi, en mixant les deux, Messi est au dessus"
124,martinelli322,@blondoshimmer @Inspector_Cee @catboykomaba @shah_zeb16 @cilliancore And Messi was dating a 14 year old when he was 18 👍🏾
125,Susannahiiic,@luisferpo Messi.
126,ciitrusprince,@k_illua tbh i don't even know if I want to see the french celebrate. however messi fans are also annoying. there's no good option rly
127,945Rck,RT @BigGucciSosv: Messi ton parcours s’arrête là monsieur  https://t.co/lHKNQYAYDy
128,ToweringZigic,"Argentina will have to have a good game on Sunday. If they have an off day, France will just nonchalantly pick them off. It's Messi's moment"
129,Luqaido,"RT @HYPEX: Really sad about my country Morocco losing, but i'm forever proud at this performance. Thanks to all my Africans &amp; Arabs for alw…"
130,_leomorikoshi,"França nosso carrasco contra a Argentina nosso maior rival no futebol. O Messi merecia uma Copa, e a Copa merecia t… https://t.co/juE0VWrU74"
131,dattebazza,"Ô Deus... o Mbappé é tão novinho, sabe? 2026 ele tá inteirão, ele ganha lá... Olha só o póbi do Messi... velhinho,… https://t.co/UboGxPmb8D"
132,ilyes_magribi,inchallah messi soulève la cdm
133,FranAlonsoTw,"Y mi teoría es que, con un Mbappe con contrato en Paris y un Messi que acaba contrato, marca deportiva que viste a… https://t.co/cc887ieiVH"
134,ozlemmetjee,Ben normalde hep Fransa’nın rakibini tutuyordum ama Messi’nin dünya kupası kazanmasını hiç istemiyorum.🫣
135,CanAlbarracin5,"RT @anaecorrea: Un argentine promedio hoy: se despierta piensa en la sonrisa de Messi, se baña cantando Muchachos, se pregunta qué sentido…"
136,sheloveshtm,RT @4rdasquawbyryad: Messi ON ARRIVE! https://t.co/iMKDvEyMQN
137,RobSwift5,@BBCSport Yes they are and it’s one of the biggest mysteries in the history of the @FIFAWorldCup Come on #Messi &amp; co ! 🇦🇷
138,xt_tx15,RT @Dubs408: Sunday we are all Team Messi
139,imlovewithv,@Axelpambi messi &gt;&gt;&gt;&gt; selección argentina y argentinos
140,lucast3rra,pfv messi acabe com o mbappe
141,sergiogt17,RT @Rodrigo_ATM_: Messi ha llegado a dos finales del Mundial con esto detrás https://t.co/sHHdf0qNUu
142,PouchkineXXI,RT @CanalSupporters: 🚨🚨 | L’équipe de France de Kylian Mbappé se qualifie pour la Finale de la Coupe du Monde et affrontera l’Argentine de…
143,yohann1mm,#Qatar2022 #FranciaMarocco Aunque en el fútbol muchas veces no se da lo lógico. Está vez sí.La final soñada!… https://t.co/lOufXYEfcx
144,mounscooking,RT @kokokbl: Tweet pas risqué : Griezmann fait une meilleur CdM que Leo Messi.
145,alassaned78,Dimanche y’a pas de ralentir Messi vas chercher la Coup du monde.
146,rafiyahyayayaya,"Beratt, keknya ya Prancis yg back to back.#Messi𓃵 #GOAT𓃵 #FIFAWorldCup2022 #Argentina #France #ArgentinaVsFrance https://t.co/zMgP49i36B"
147,lionelmaddison,18 Aralık 20:30'da kupa Messi'nin elinde yükselirken mbappe'nin hüngür hüngür ağlaması https://t.co/ecE6GaOfnH
148,m7secorgamer,"RT @HYPEX: Really sad about my country Morocco losing, but i'm forever proud at this performance. Thanks to all my Africans &amp; Arabs for alw…"
149,ThexDar,@IILilian31II Je suis désolé mais je supporte l'argentine Messi je compte sur toi 🇦🇷🇦🇷🇦🇷
150,Nya_Lop,RT @soyunargento: Messi yendo a jugar la revancha contra Mbappe en la final contra Francia https://t.co/BO7TqZKAVi
151,shhahlaah_,RT @rannnda: dw messi is going to destroy france for us all inshallah 🙏🏼🤲🏼
152,Dryllvictor,@fuccwuan God please don’t let Messi suffer becuz of this jokers
153,aulususbigwin,"RT @FootballApeFC: FAFC Genesis Edition ( This collection have maximum supply of 107 NFTs) : https://t.co/bjvgIJMyRmFull collection of 7,…"
154,FichajeGoleador,"RT @PSG_Goleador: Lógica Madridista:Mbappé... rata. Prefieres el dinero que lo deportivo, no mereces jugar en Real Madrid. Tu carrera est…"
155,mesgo_,Messi kazansa Ronaldo’ya üzüleceğim. Mbappe kazansa Messi’ye üzüleceğim.Fransa - Arjantin finalinden farklı bir final olsaydı keşke. :)
156,anakiiin93,RT @barstoolsports: Messi vs Mbappe for the World Cup https://t.co/KDz2ifKcY9
157,LairdOfKiloran,Nadie es kirchnerista sin amargura ni resentimiento. https://t.co/81d4Mntnta
158,ltsABU,RT @Omada_UK: It’s time for Lionel Messi to get revenge vs Mbappe. https://t.co/Ec6z6xTalE
159,almeidagoncalo8,mesma idade do messi :) https://t.co/tz0YSL4BRO
160,oluwole__ola,RT @DanOgunshakin: So it will be Argentina vs France for the World Cup on Sunday. Messi vs Mbappe. The French had just too much for Morocco…
161,benjib69,@ActuFoot_ Messi n’aura jamais le trophée qui lui manque
162,GigaHugo,RT @Livai92i_: LIONEL MESSI ON ARRIVE POUR TA LEUGEU https://t.co/5YKgXLXHvg
163,Ply_del,Je ne vis que pour voir les tweets qui demanderont pourquoi Messi il joue contre la France dimanche
164,YannickAriseko1,"RT @_BeFootball: À l’instant T, vous donneriez le titre de MVP de la Coupe du Monde à Griezmann ou Messi ? 🇫🇷🇦🇷🧐 https://t.co/hT3jy8hEWZ"
165,TellAIIah,@PSGhub Messi tears ?&gt;&gt;
166,Leanflores_,RT @matutemazz: Messi tocandose el abductor dos minutos antes del gol https://t.co/TM1Y5t13l9
167,Daalai6,¿Qué me importa a mí esa copa cochina? Yo sólo quiero ver a Messi feliz
168,Akba610_,"RT @gaspardooo: Prochain match France - Argentine, mon rêve c’est qu’un supporter ramène une affiche géante avec la tête de Pessi, il FAUT…"
169,Hanya_ngenyot,RT @ZaraGiveaway: $20 • 2 Hours 👑⚽️-RT + RT &amp; Like @FootballApeFC 📌______________________#fifa #FIFAWorldCup    #FIFAWorldCup2022 #Mes…
170,Lucio_456,RT @OficialSala12: Messi ganha a Copa do Mundo:Mbappé no vestiário: https://t.co/rXro0hw2iA
171,s_saha100,Morocco🥲💔 but time for messi tears on Sunday
172,HarahapNapurpur,RT @ESPNFC: LIONEL MESSI VS. KYLIAN MBAPPE IN THE WORLD CUP FINAL 👀Argentina vs. France is going to be fireworks 🍿 https://t.co/n3lfbu1phF
173,A_Oury93,Le maroc a bien jouer et cette pute de france a gagné mais les mecs vous avez intérêt a bien niquer Messi en final #CoupeDuMonde
174,EfranSevilla2,@fcbarcelona_fra @dembouz @jkeey4 Vamos Messi
175,LaSuzaille,RT @DaGoldnO: Par la grâce du tout puissant Lionel Messi ne doit PAS soulever cette coupe !!!!
176,leinad_0303,RT @ElPUTISIMO_SOL: @trunksRM Argentina y Francia lograron algo que quedará en la historia y es ver cuánto son capaces los madridistas/espa…
177,irrerino,Mbappe making Messi cry on sunday https://t.co/KgEnvvvqTv
178,Sharon_Nayla,"RT @Juezcentral: OFICIAL. Domingo, 18 de diciembre. Final de Copa Del Mundo. Argentina-Francia. Mbappé-Messi. Diversión asegurada. https://…"
179,dudufandrade,"A realidade é dura, qualquer um q ganhar domingo eu vou ficar puto, dito isso tomar q o Messi amasse essa 🐢 do crl"
180,mariyatsu,RT @ESPNFC: 2001: Ronaldinho signed for PSG ✍️2002: He won the World Cup 🏆2017: Mbappe signed for PSG ✍️2018: He won the World Cup 🏆2…
181,GigiAkaRicardo,RT @kokokbl: Tweet pas risqué : Griezmann fait une meilleur CdM que Leo Messi.
182,felipeflorencia,RT @ChoboAlvarez: Este niño ecuatoriano causó sensación y gente de Argentina lo busca para hacerle llegar la camiseta de Messi. Gente de Tw…
183,AmineKhadir2,RT @kokokbl: Tweet pas risqué : Griezmann fait une meilleur CdM que Leo Messi.
184,cordy78,"@alionaberryx @Ivanismo1 @IbaiLlanos Que te jode mas, Messi o que Mbappe no fuese al Madrid 🤣🤣"
