long,lat,id,tipo,calle_auto,altura,km,velocidad,direccion_,calle_norm,intersec_1,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.4794,-34.67781,171,CINEMOMETRO FIJO,Au. Dellepiane (descendente),0,"Km 1,15",100,,,,PARQUE AVELLANEDA,9,,
-58.38307,-34.58162,172,CINEMOMETRO FIJO,Au. Illia (a prov. C3),0,"Km. 1,2",80,,,,RETIRO,1,,
-58.38313,-34.58164,173,CINEMOMETRO FIJO,Au. Illia (a prov. C2),0,"Km. 1,2",80,,,,RETIRO,1,,
-58.38339,-34.58176,174,CINEMOMETRO FIJO,Au. Illia (al centro C3),0,"Km. 1,2",80,,,,RETIRO,1,,
-58.3833,-34.58169,175,CINEMOMETRO FIJO,Au. Illia (al centro C2),0,"Km. 1,2",80,,,,RETIRO,1,,
-58.4075,-34.56718,176,CINEMOMETRO FIJO,Au. Illia (a prov. C3),0,"Km. 3,9",100,,,,PALERMO,14,,
-58.40744,-34.56715,177,CINEMOMETRO FIJO,Au. Illia (a prov. C4),0,"Km. 3,9",100,,,,PALERMO,14,,
-58.43207,-34.55168,178,CINEMOMETRO FIJO,Au. Illia (a prov. C1),0,"Km. 6,9",100,,,,BELGRANO,13,,
-58.43194,-34.55159,179,CINEMOMETRO FIJO,Au. Illia (a prov. C2),0,"Km. 6,9",100,,,,BELGRANO,13,,
-58.44627,-34.54354,180,CINEMOMETRO FIJO MULTICARRIL,Av. Cantilo (carriles 1 y 2),0,"Km 8,5",60,,,,BELGRANO,13,,
-58.44672,-34.54399,181,CINEMOMETRO FIJO,Au. Lugones C4,0,"Km 8,7",100,,,,BELGRANO,13,,
-58.44668,-34.54407,182,CINEMOMETRO FIJO,Au. Lugones C5,0,"Km 8,7",100,,,,BELGRANO,13,,
-58.44636,-34.54359,183,CINEMOMETRO FIJO,Av. Intendente Cantilo ,0,"Km 8,7",100,,,,BELGRANO,13,,
-58.44897,-34.54199,184,CINEMOMETRO FIJO MULTICARRIL,Av. Intendente Cantilo,0,"Km 8,7",100,,,,BELGRANO,13,,
,,185,CINEMOMETRO FIJO MULTICARRIL,Av. Gral. Paz (carriles 3 y 4) Rio la Plata,0,"Km.13,0",0,,,,VERSALLES,10,,
,,186,CINEMOMETRO FIJO MULTICARRIL,Av. Gral. Paz (carriles 3 y 4) Riachuelo,0,"Km.13,1",0,,,,VERSALLES,10,,
,,187,CINEMOMETRO FIJO MULTICARRIL,Av. Gral. Paz (carriles 3 y 2) Rio la Plata,0,"Km.17,8",0,,,,MATADEROS,9,,
,,188,CINEMOMETRO FIJO MULTICARRIL,Av. Gral. Paz (carriles 3 y 2) Riachuelo,0,"Km.17,8",0,,,,MATADEROS,9,,
,,189,CINEMOMETRO FIJO MULTICARRIL,Av. Gral. Paz (carriles 3 y 4) Rio la Plata,0,"Km.22,5",0,,,,VILLA RIACHUELO,8,,
,,190,CINEMOMETRO FIJO MULTICARRIL,Av. Gral. Paz (carriles 3 y 4) Rio la Plata,0,"Km.22,5",0,,,,VILLA RIACHUELO,8,,
-58.464,-34.64803,191,CINEMOMETRO FIJO MULTICARRIL,Au1-Au6 Ramal de transición,0,"Km 0,1",60,,,,PARQUE AVELLANEDA,9,,
-58.46375,-34.58793,192,CINEMOMETRO FIJO,Av. Elcano ,4428,,60,AV ELCANO 4428,AV ELCANO,AV. DEL CAMPO,Chacarita,15,1427,C1427CIP
-58.49411,-34.56243,193,CINEMOMETRO FIJO MULTICARRIL,Crisologo Larralde,5281,,40,CRISOLOGO LARRALDE 5281,LARRALDE CRISOLOGO,CAPDEVILA,Villa Urquiza,12,1431,C1431APK
-58.50417,-34.56723,194,CINEMOMETRO FIJO MULTICARRIL,Crisologo Larralde,6037,,40,CRISOLOGO LARRALDE 6032,LARRALDE CRISOLOGO,LAVOISIER,Villa Urquiza,12,1431,C1431AQB
