,Usuario,Tweet
104,HuertaCero,RT @LaCampora_CABA: Vallas donde vayas... Esta es la Policía de Larreta.A Cristina la defiende el pueblo.#TodosConCristina https://t.co/…
105,Gaston2917,Saca las vallas Larreta de que tenes miedo ✌✌ Fuerza Cristina ✌  #SacaLasVallasLarreta
106,MiguelA44310319,https://t.co/AqimI0Y6bv
107,adriianap7,"RT @jramospadilla: RATIFICAMOS la convocatoria a Parque Chacabuco. Desde ahí decidiremos en asamblea, como seguimos, Larreta esta provocand…"
108,zcplank,"RT @jramospadilla: RATIFICAMOS la convocatoria a Parque Chacabuco. Desde ahí decidiremos en asamblea, como seguimos, Larreta esta provocand…"
109,lilianacaste2,"RT @Clorobles2: Dejó de lado la interna todista y golpeó al expresidente, al FMI y a los medios. Con chicana a Larreta, intentó meter una c…"
110,GraGrandi,"RT @jramospadilla: Larreta, abrí tu cabeza, no podes ser tan P... como para creer q podes parar al Pueblo que marcha hacia su destino, trat…"
111,rodyoperez,RT @VivianaaFerrari: Imagino que en CABA no van a votar a ninguno que vaya con Larreta. Aviso que no van a parar hasta conurbanizarla. Es l…
112,Diego787329082,RT @PauloBaudouin: No puedo creer que Larreta haya vallado la casa de Cristina... Que tipo infame... No podrá detener el olor a chori y a p…
113,Frabru,RT @PERIODlSTAPERON: En cinco días y cinco noches no hubo ni un solo hecho de violencia. Ahora Larreta manda la infantería. ¿Qué busca el c…
114,FedreMaria,RT @FlaviaFrejman: LARRETA está pidiendo el DNI para circular por las calles de la ciudad.INCONSTITUCIONAL POR DONDE SE LO MIRE
115,ArnaldoCento,"RT @OmarTropa: Vallas , policías , guardia de infantería, filmación de manifestantes , solo faltan los infiltrados para completar el cotill…"
116,ThelonioM,"RT @rinconet: Convengamos que Larreta no podía dejar desamparados a mis pobres vecinos. No es político, es un tema de sanidad y coso.#Todo…"
117,RebonMarcelo,RT @EleSpn2: Con las rejas de LarretaCon las rejas de LarretaVamo a hacer una parrilla Vamo a hacer una parrilla Para cocinar los chooo…
118,carrizoramirez1,"RT @Lupo55: La Villa llegó a Recoleta, bancátela Larreta.  @horaciorlarreta #TodosConCristina #TodosAJuncalyUruguay https://t.co/pqYZsVJ9…"
119,MagdalenaM21,RT @PERIODlSTAPERON: En cinco días y cinco noches no hubo ni un solo hecho de violencia. Ahora Larreta manda la infantería. ¿Qué busca el c…
120,DeJodidaNomas,"RT @jramospadilla: RATIFICAMOS la convocatoria a Parque Chacabuco. Desde ahí decidiremos en asamblea, como seguimos, Larreta esta provocand…"
121,fedenicastro,RT @PERIODlSTAPERON: En cinco días y cinco noches no hubo ni un solo hecho de violencia. Ahora Larreta manda la infantería. ¿Qué busca el c…
122,Zulema18547173,"RT @BabeGod3: Se llenan la boca de paz social y democracia, pero vallan los alrededores de la casa de la Vice Presidenta con la Guardia de…"
123,GracielaPaggi,RT @DeliaRosaCmara4: LARRETA CAGON LPQTP!  https://t.co/bi6XMv6FVI
124,silvia_sassola,RT @cristiancim: Pero Larreta… estás violando el derecho a la libre circulación que tanto te gusta. Además estás haciendo un mini ghetto. Y…
125,st_gise,"RT @marcelopueIIaok: Hoy las manifestaciones de apoyo a Cristina iban a ser solamente en plazas, pero por culpa de la provocación de las va…"
126,Lillyann_25,@SergioChouza @clarincom @florenciarietto La única feminazi es arietto qué está llena de odio que andaba haciendo e… https://t.co/GWdVsfqlRj
127,contrainfoTW,@silviamascotas @MarcelaSmiljan EL MÉTODO DE LA DICTADURA.LARRETA ORDENÓ FILMAR LOS ROSTROS DE LOS QUE AMAN A CRIS… https://t.co/IV6G5GZNn2
128,AleLaKuka,"RT @jramospadilla: RATIFICAMOS la convocatoria a Parque Chacabuco. Desde ahí decidiremos en asamblea, como seguimos, Larreta esta provocand…"
129,gabyzeta68,"RT @eldestapeweb: A pesar de las vallas de Horacio Rodríguez Larreta, la militancia marchará por CFK: los actos confirmados y el festival a…"
130,Karina51236524,RT @LaCampora_CABA: Vallas donde vayas... Esta es la Policía de Larreta.A Cristina la defiende el pueblo.#TodosConCristina https://t.co/…
131,meluraok,RT @loderaulo: Larreta trajo sus fuerzas de ataque y producirán un choque dicen en C5N.
132,mcortesvela,"RT @gemnacpop: Compañero @FernandezAnibal  que pasa? Queremos q Nacion actue para calmar a Larreta y deje d filmar, pedir Dni y vallar"
133,AloFormosa,RT @fsaintout: No hay valla de Larreta ni de nadie que contenga el amor del pueblo. https://t.co/glxxQ7Cusu
134,GracielaPaggi,RT @DiegoFlo17: Larreta puso vallas en la casa de Cristina.Es una provocación. Ellos buscan cambiar el sentido de las muestras de amor pop…
135,alexbrav,RT @riellodecba: El Sol Peronista asoma en CABA…Y #pomelo Larreta en su miopía política cree que con su ghetto vip va a preservar el orde…
136,milloplatense,RT @MartnPeiretti1: 🟥⛔️⚠️ ¿Estás nervioso Larreta?. El amor de un pueblo hacia su máxima representante no se termina porque pongas vallas f…
137,GraGrandi,"RT @jramospadilla: RATIFICAMOS la convocatoria a Parque Chacabuco. Desde ahí decidiremos en asamblea, como seguimos, Larreta esta provocand…"
138,eindrand,RT @EleSpn2: Con las rejas de LarretaCon las rejas de LarretaVamo a hacer una parrilla Vamo a hacer una parrilla Para cocinar los chooo…
139,FabianV16751827,"RT @jramospadilla: RATIFICAMOS la convocatoria a Parque Chacabuco. Desde ahí decidiremos en asamblea, como seguimos, Larreta esta provocand…"
140,13M_d_C,RT @ultramacrista23: Larreta les está pintando los ranchos a los villeros de la 31. Onda Caminito. Gastando la plata de los porteños en per…
