,Usuario,Tweet
91,FaacuJC,"RT @Winston_Dunhill: - Que pasó Orteguita, te lesionaron en un partido de veteranos?
- Soy Milagro Sala, pelotudo. https://t.co/Hp156uQi12"
92,marconnie1,RT @enriquezjorge: No visitó a Solange. No visitó a Abigail. No visitó a ninguna de las cientos de miles de víctimas ni pacientes de Covid.…
93,luisa_almaraz,"RT @LuisGasulla: Mandela visitaba a las víctimas y perseguidos del Apartheid.
Alberto visita a los violentos condenados como Milagro Sala c…"
94,VivianaDepaoli,"RT @rinconet: ""La guardia policial impuesta a Milagro Sala en plena internación agrega crueldad a un libreto inverosímil que no está hecho…"
95,jorge_tadeo,@Populismomata Milagro en la Sala😂
96,MEugeCoronado,RT @soymaraok: Dice Milagro Sala que a todes sus cumpas feliz día del Orgullo. https://t.co/rOjYogj8lz
97,bouzada_ana,RT @javierlanari: Alberto tiene derecho de visitar a Milagro Sala en calidad de amigo personal. Para eso debiera pedirse licencia y pagarse…
98,LauraE_Schwarz,"RT @patoplanet: Se recibió el primer ingeniero espacial en argentina, 24 años tiene  el chico, pero Alberto recibe a L gante y visita a mil…"
99,FlavioDaz1,"RT @la_campora: Es urgente frenar el hostigamiento del poder político y judicial de la provincia hacia Milagro Sala.

Por @pietragallahora…"
100,frauleinmaria,RT @AliciaCastroAR: 🔴 ES HORA DE QUE EL GOBIERNO @alferdez  INDULTE A MILAGRO SALA. Cuánto puede durar la crueldad? Cuánto puede tolerarse…
101,AnitaKich,"RT @PrensaTupac: Cabe recordar que, en las últimas semanas, el Ministerio Público de la Acusación expresó públicamente su intención de que…"
102,calandolapiedra,"RT @PrensaTupac: *Comunicado del equipo de defensa de Milagro Sala*

En el día de ayer, en el marco de un creciente contexto de hostigamien…"
103,NoraNorama56,RT @AliciaCastroAR: 🔴 ES HORA DE QUE EL GOBIERNO @alferdez  INDULTE A MILAGRO SALA. Cuánto puede durar la crueldad? Cuánto puede tolerarse…
104,guiller70869603,RT @AliciaCastroAR: 🔴 ES HORA DE QUE EL GOBIERNO @alferdez  INDULTE A MILAGRO SALA. Cuánto puede durar la crueldad? Cuánto puede tolerarse…
105,MarielBoyne,RT @cristiancim: Gerardo Morales está torturando a Milagro Sala en terapia intensiva. No se puede mover dr su cama y tiene a un policía al…
106,Samurai_Ferr,"RT @Winston_Dunhill: Tiene 58 años, tiene condena firme y cumple condena en su mansión, es verdad, Milagro Sala está ilegalmente detenida,…"
107,marielagos2000,"RT @WalhallaMann: Les voy a pedir que me ayuden a difundir esto que es un escándalo y una burla a la justicia.

Milagro Sala hoy tenia junt…"
108,MyRy56,RT @soymaraok: Me confirmaron que Milagro Sala tenía junta médica en estos días para evaluar si estaba en condiciones de regresar a la cárc…
109,katira2602,"RT @FtePatriaGrande: Milagro Sala esta internada en grave estado en Jujuy. Lleva 6 años como presa política, es perseguida por ser pobre y…"
110,JULI_CARP69,RT @AliciaCastroAR: 🔴 ES HORA DE QUE EL GOBIERNO @alferdez  INDULTE A MILAGRO SALA. Cuánto puede durar la crueldad? Cuánto puede tolerarse…
111,gracieladupal,RT @cristiancim: Gerardo Morales está torturando a Milagro Sala en terapia intensiva. No se puede mover dr su cama y tiene a un policía al…
112,AnitaKich,"RT @PrensaTupac: Para peor, los policías informan constantemente, por teléfono, (suponemos que sus superiores o medios de comunicación) ace…"
113,JCR77921543,@osvwal @CFKArgentina @SalaMilagro @alferdez Quien dijo que Cristina Fernández dejó sola a Milagro Sala. (!?
114,gabriela_gabaaa,"RT @PrensaTupac: *Comunicado del equipo de defensa de Milagro Sala*

En el día de ayer, en el marco de un creciente contexto de hostigamien…"
115,OSCARANTONIOFE8,"RT @eldestape_radio: ""El gobierno de Jujuy mandó una policía al lado de la cama de Milagro Sala, que la filma y habla por teléfono. Es host…"
116,monicaclaudia09,"RT @Winston_Dunhill: Tiene 58 años, tiene condena firme y cumple condena en su mansión, es verdad, Milagro Sala está ilegalmente detenida,…"
117,minicha35571395,"RT @JuanGrabois: Mi solidaridad con Milagro Sala internada en grave estado. Con ella nuestro corazón, con los verdugos y sus cómplices nues…"
118,Tatin85661186,"RT @etupito: Lo que están haciendo con Milagro Sala es inhumano. 
#LiberenAMilagro"
119,Vercingetronix,"RT @PrensaTupac: Como es de público conocimiento, Milagro Sala lleva casi siete años en prisión preventiva, monto que triplica el máximo es…"
120,DMissiati,RT @FGNacional: Desde el Frente Grande abrazamos a la compañera Milagro Sala quien se encuentra internada por una grava afección médica. In…
121,Putonautta,"RT @C5N: 📞 @gabicerru confirmó que @alferdez se comunicó con @SalaMilagro y le expresó su preocupación 
https://t.co/CeXIscHjn8"
122,pabloriv13,RT @hijos_capital: LIBERTAD A MILAGRO SALA
123,ulisesgrama,"RT @etupito: Lo que están haciendo con Milagro Sala es inhumano. 
#LiberenAMilagro"
124,Putonautta,RT @C5N: .@SalaMilagro continúa en terapia intensiva por una trombosis venosa en la pierna izquierda: se encuentra estable y sin complicaci…
125,lf_canales,RT @AliciaCastroAR: 🔴 ES HORA DE QUE EL GOBIERNO @alferdez  INDULTE A MILAGRO SALA. Cuánto puede durar la crueldad? Cuánto puede tolerarse…
126,uskera54_lu,"RT @tiempoarg: ⚠️ Hasta en terapia intensiva, continúa el hostigamiento contra Milagro Sala: denuncian que policías filman y reportan al la…"
127,Claudia86091449,RT @soymaraok: Me confirmaron que Milagro Sala tenía junta médica en estos días para evaluar si estaba en condiciones de regresar a la cárc…
128,florapastalinda,"RT @eldestapeweb: Allegados a Milagro Sala denunciaron que los policías de la provincia de Jujuy está junto a la cama, anotan lo que habla…"
129,AliciaCastroAR,🔴 ES HORA DE QUE EL GOBIERNO @alferdez  INDULTE A MILAGRO SALA. Cuánto puede durar la crueldad? Cuánto puede tolera… https://t.co/OAKv5bkkDT
130,gimelsp,"RT @MartnPeiretti1: ⛔AHORA⛔ Milagro Sala acaba de ser internada en terapia intermedia por una trombosis venosa profunda.
Los médicos dijero…"
131,C5N,"📞 @gabicerru confirmó que @alferdez se comunicó con @SalaMilagro y le expresó su preocupación 
https://t.co/CeXIscHjn8"
132,C5N,.@SalaMilagro continúa en terapia intensiva por una trombosis venosa en la pierna izquierda: se encuentra estable y… https://t.co/XXgt9go4I9
133,Gauchobebop,RT @AliciaCastroAR: Milagro Sala. Y 2 preguntas para el presidente Alberto Fernandez @alferdez @CasaRosada 1- ALGUIEN PUEDE SOPORTAR TANTA…
134,AnitaKich,"RT @PrensaTupac: *Comunicado del equipo de defensa de Milagro Sala*

En el día de ayer, en el marco de un creciente contexto de hostigamien…"
135,RaulporsiempreK,"RT @Irihauser: 🔴El equipo de la defensa de Milagro Sala informa que está en terapia intensiva, con un policía al lado todo el tiempo. No ha…"
136,quecop,RT @AliciaCastroAR: Milagro Sala. Y 2 preguntas para el presidente Alberto Fernandez @alferdez @CasaRosada 1- ALGUIEN PUEDE SOPORTAR TANTA…
137,LuisNorbertoG18,"RT @MarisaMorro: ESCUCHEN AL ABOGADO DE MILAGRO SALA, Q EL MINISTRO DE JUSTICIA HAGA ALGO X F.#Cristina2023 https://t.co/Z9zqf5WEj5"
138,nmartinezush,"RT @PrensaTupac: Para peor, los policías informan constantemente, por teléfono, (suponemos que sus superiores o medios de comunicación) ace…"
139,OlanoJosmar,"RT @Joseescorcia_19: #ULTIMAHORA 🔴 | Internan a la dirigente y presa política, Milagro Sala de urgencia en terapia intensiva, Por Una tromb…"
