,Usuario,Tweet
140,DalleSilvio,"RT @brom_elisa: Apagou, mas o Print é eterno!  Então o Nine teve tratamento VIP na Globo?A Globo espera uma CANETADA do Ex Presidiário pa…"
141,AntnioC73966519,"RT @PedroRonchi2: Cristão bolsonarista é aquele que deixou de seguir o Papa para seguir o padre Kelmon, deixou de seguir Jesus para seguir…"
142,KELISVALENTIM,RT @eixopolitico: 🇧🇷 PRESIDENTE: RIO GRANDE DO SUL (VOTOS VÁLIDOS)🔴 Lula (PT): 44% (-1)🔵 Bolsonaro (PL): 42% (+1)🟢 Tebet (MDB): 7% (+2)…
143,lopescrf__,Eu já vi gente que votou em Bolsonaro arrependido mas agora gente que foi contra ele antes e agora votando nele e f… https://t.co/pt8rEzEvy0
144,Francia40485862,RT @jorgeseifjunior: Amanhã tem Bolsonaro em Santa Catarina!   Estaremos todos juntos numa grande motocarreata em Joinville. Venha de verde e…
145,hlcb1969,RT @LuizCor24841840: Após o vídeo em q Neymar pede voto pra Bolsonaro!  Rivaldo e Família tbm pede voto pra Bolsonaro!  Felipe Melo e Família…
146,cinthyapontes2,RT @capitaoderrite: Sorocaba é Bolsonaro!  !  !   https://t.co/tJI4Pf45kR
147,RobsonF38013452,RT @BolsoMito380: Eduardo Costa também declara o voto em Bolsonaro!  #BolsonaroNoPrimeiroTurno https://t.co/Kcj30nh91x
148,HerzTiago,"RT @AndreHenning: Muita gente perguntando. Vou tentar resumir. Por questões do meu contrato, não posso me envolver em campanhas. Mas sou um…"
149,Amricanmade,"@ladiaria Si tienen hambre, no tienen dinero, sin dinero no van a los lugares de votacion. GANA BOLSONARO!  "
150,Luarachunli,RT @gustavocanalhao: Neymar (o sonegador) e Robinho (o estuprador) apoiando BolsonaroEra esse o tuite
151,AriadneDeAlenc1,RT @RiosRosineide: @fdavilaoficial VAMOS DE #FELIPE30 ESCOLHENDO UM NOME PARA DERROTAR #LULA E #BOLSONARO SALVANDO O BRASIL!  ELES MENTEM…
152,SeuLungafala,RT @rmotta2: Soraya pergunta para Bolsonaro sobre o tema Segurança Publica: “O que o senhor quis dizer quando diz que só vai respeitar as e…
153,Jhonn_854,RT @bacardoso_: candidato bolsonaro vc lembra de quando tava imitando gente sem ar por conta do covid
154,yellsgarden,RT @FinchelsteinF: Neymar endorses a fascist future for his country. His support for Bolsonaro is just sad...
155,Priscil68494119,RT @SchimithFabiano: O que Bolsonaro fez para nossas mulheres?? https://t.co/609eFtCKhX
156,mp_srta,RT @FinchelsteinF: Neymar endorses a fascist future for his country. His support for Bolsonaro is just sad...
157,_mmifer,"Não apoiar o Lula, beleza!   Mas agora idolatrar o Bolsonaro é muita burrice"
158,KennedyEuMesmo,"RT @SirD1T1: Os ""héteros"" mudando voto pro Bolsonaro depois do vídeo do Neymar e eu aqui convicto em votar no PT (partido das TETAS)"
159,marcia65125897,RT @capitaoderrite: Sorocaba é Bolsonaro!  !  !   https://t.co/tJI4Pf45kR
160,SantaEneida,RT @TerraBrasilnot: Rei do futsal: Falcão também declara seu apoio a Bolsonaro https://t.co/EwzIUFMAt8
161,crismnobrega,"RT @flaviogordon: Ataque do Bolsonaro F. C.: Rivaldo, Ronaldinho Gaúcho, Neymar, Romário e Pelé.Tá fraco?"
162,AugustoAssisFSA,"RT @arielpalacios: Plágios subequatoriaisO presidente Jair M.Bolsonaro, seus ministros - e seus militantes - deslancharam nos últimos ano…"
163,MikellaineAlbu1,"RT @rozianebsantos: Depois de Neymar, Grande Celebridade gospel declara seu voto a Bolsonaro em Libras 🤣🤣🤣🤣🤣🤣Primeira-Dama fez dancinha tb…"
164,BobcuspeDF,RT @UOLNoticias: Picanha de R$ 2.000 de Bolsonaro custa 3 meses de Auxílio Brasil https://t.co/IkWh7VRI8j
165,danielbalaa,RT @cartasdogabs: Bolsonaro NÃO criou a lei Paulo GustavoBolsonaro NÃO criou Aldir BlancBolsonaro NÃO criou auxílio emergencialBolsonaro…
166,LipeGates,RT @FinchelsteinF: Neymar endorses a fascist future for his country. His support for Bolsonaro is just sad...
167,umgrandeaviador,"RT @Erik_C_Oliveira: Apoios 'fundamentais' a Jair Bolsonaro. Guilherme de Pádua, Bruno (goleiro) e, agora, Robinho. Nossa. Portanto, nunca…"
