,Unnamed: 0,Usuario,Tweet
103,103,mayribarren,RT @MartnPeiretti1: 🔴⚠❎ Como en 2008 con los golpistas del campo ante la persecución política mediática y judicial el pueblo se volvió a…
104,104,Emilia0582,RT @atlanticsurff: Paso a decirles que esta horda de parásitos que está en la puerta de la casa de Cristina no dejaron que pase una ambulan…
105,105,Noee621472062,RT @RPN_Oficial: Larroque y Penacca denunciaron que la policía macrista de Larreta no permite la entrada a dirigentes del FDT  https://t.co…
106,106,LlLlana1,RT @NICOLAS71046251: INSOLITO...CRISTINA CAMBIA DE AMIGOS COMO DE CARTERAS DE 20.000 DOLARES... https://t.co/cjqgIZTbD5
107,107,Gustavobpm,"RT @claudiosavoia: ""Que Cristina mande a leer la Constitución es como si un preso te mande a leer el Código Penal"" dice #ahora el abogado…"
108,108,maguinha120,RT @GloboNews: O deputado Eduardo Bolsonaro filho do presidente Jair Bolsonaro se meteu em uma briga com o chanceler da Argentina e acab…
109,109,Bfreirea,RT @ClaudiaPizarro: Tras 40 años calle Batallón Chacabuco será de hormigón armado. El testimonio de Cristina es claro: Fue una de las mile…
110,110,HuertaCero,RT @LaCampora_CABA: Vallas donde vayas... Esta es la Policía de Larreta.A Cristina la defiende el pueblo.#TodosConCristina https://t.co/…
111,111,valedesanluca,RT @gimenafuertes: AHORA @horaciorlarreta mandó a la Infantería a la casa de Cristina y rodearon la manzana entera.
112,112,Gaston2917,Saca las vallas Larreta de que tenes miedo ✌✌ Fuerza Cristina ✌  #SacaLasVallasLarreta
113,113,adriianap7,RT @jramospadilla: RATIFICAMOS la convocatoria a Parque Chacabuco. Desde ahí decidiremos en asamblea como seguimos Larreta esta provocand…
114,114,Juanjoreyesok,RT @PatoBullrich: Con diputados nacionales presentamos en Tribunales una denuncia criminal contra el presidente Alberto Fernández la vicep…
115,115,zcplank,RT @jramospadilla: RATIFICAMOS la convocatoria a Parque Chacabuco. Desde ahí decidiremos en asamblea como seguimos Larreta esta provocand…
116,116,garin_mdv,RT @SergioOmarLobos: INSÓLITO Cristina no quiere que difundan una foto donde se encuentra junto a sus funcionarios preferidos Julio De Vido…
117,117,Gabriel_anti_k,RT @dardogasparre: cristina se parece cada vez más al Pingüino... pero al de Batman.
118,118,eltelevisero,💥⬇️ #Socialité592 hace lo impropio y se ceba contra Cristina Pedroche tras toda su última polémica (#YaEsVerano27A) https://t.co/2ZTuHA8uzm
119,119,alesos,RT @atlanticsurff: Así lleno de comida botellas de vinos y latas de Cerveza dejaron la calle Juncal en Recoleta los militantes que apoyan…
120,120,GuillermoLanzi3,RT @LuisNorbertoG18: El Lunes 17 de Octubre es el día de el alegato dela defensa de Cristina en :Comodoro Proestaría bueno que vallamos to…
121,121,Diego787329082,RT @PauloBaudouin: No puedo creer que Larreta haya vallado la casa de Cristina... Que tipo infame... No podrá detener el olor a chori y a p…
122,122,OmarRizzuti,RT @atlanticsurff: Paso a decirles que esta horda de parásitos que está en la puerta de la casa de Cristina no dejaron que pase una ambulan…
123,123,ginolorenzetti,RT @HPRecalde: La figura de asociación ilícita les sirve a quienes persiguen a Cristina Fernández de Kirchner porque no encuentran un hech…
124,124,susicsarmiento,@p_justicialista @CFKArgentina Todos con Cristina presa! ! ! ! 
125,125,SerenaSerena58,@TodosCaba Saben que “bancar”es aportar apoyo financiero como hace un banco?  Cuando dicen “Cristina yo te banco”… https://t.co/KIsNq6wz7h
126,126,Franco_Sandman,RT @AcostashowJuan: Que cristina te mande a leer la constitucion es como que yo te aconseje como manejar un avion yo no soy piloto ella n…
127,127,marisalibertad,RT @AgenciaElVigia: Movilización en Plaza Alsina de #Avellaneda en apoyo a Cristina. Uno de los oradores será @drjorgerachid. Ya está nterr…
128,128,adriianap7,RT @HPRecalde: Creo que por las afirmaciones injuriosas de el Senador norteamericano Ted Cruz y del Diputado brasileño Eduardo Bolsonaro…
129,129,davidal27,RT @CarlosG79902727: Que miedo le tienen al pueblo enamorado de su líder.La mujer con más coraje y más convocatoria! ! ! Te amo ❤️ Cristina…
130,130,DeJodidaNomas,RT @jramospadilla: RATIFICAMOS la convocatoria a Parque Chacabuco. Desde ahí decidiremos en asamblea como seguimos Larreta esta provocand…
131,131,RaulAlbertoCre2,RT @barci_2010: https://t.co/dBVtoD7c9P @alferdez @wadodecorrido @MartinSoria_ @FernandezAnibal: EVITEN LO QUE SE PALPITA. REPRESION DE LA…
132,132,JoniNewStyle,RT @PatoBullrich: Con diputados nacionales presentamos en Tribunales una denuncia criminal contra el presidente Alberto Fernández la vicep…
133,133,AecioEscalante,RT @RosaDel51373955: Cristina Gómez la concejala de Vox que acosaba a los hijos de Iglesias acusada de consumir drogas delante de los suy…
134,134,st_gise,RT @marcelopueIIaok: Hoy las manifestaciones de apoyo a Cristina iban a ser solamente en plazas pero por culpa de la provocación de las va…
135,135,Lillyann_25,@SergioChouza @clarincom @florenciarietto La única feminazi es arietto qué está llena de odio que andaba haciendo e… https://t.co/GWdVsfqlRj
136,136,RebeldePeronia,"RT @Ojo_Kritico: 🚨Fernando Iglesias: ""No me digan más que el peronismo es distinto al kirchnerismo porque todos bancan a la corrupta de Cri…"
