,Usuario,Tweet
99,RepubblicAna,@BetoMendeleiev_ @Gazorpazorpfiel Tigre #SinLuz
100,lubia_16,"RT @ReporteYa: #27Feb 8:50 PM #Caracas #SinLuz @Dayanakrays: Edificios de la Av. Fuerzas Armadas, esquina Socorro, tocan cacerolas tras se…"
101,victorh87644330,"RT @ReporteYa: #27Feb 8:50 PM #Caracas #SinLuz @Dayanakrays: Edificios de la Av. Fuerzas Armadas, esquina Socorro, tocan cacerolas tras se…"
102,NinaCalguar,"RT @800Noticias_: #27Feb | ¡CACEROLAZO EN CARCAS!Edificios de la Av. Fuerzas Armadas, esquina Socorro, tocan cacerolas tras segundo día c…"
103,AugustoPortal63,"RT @ServPublicosVe: #SinLuz #Denuncia #SinLuz Av Fuerzas Armadas desde ayer a las 10:30 pm, son las 7:16 am y @CorpoelecInfo brilla por su…"
104,MorilloOlmedo,"RT @ReporteYa: #27Feb 8:56 PM #Caracas #SinLuz@IsmaelAMataR: ""Vecinos reporta que en parte de la Av Páez, El Pinar, Las Fuentes de El Para…"
105,MorilloOlmedo,"RT @RCR750: #SinLuz zonas de El Paraiso, Caracas."
106,Epifania_31,"RT @800Noticias_: #27Feb | ¡CACEROLAZO EN CARCAS!Edificios de la Av. Fuerzas Armadas, esquina Socorro, tocan cacerolas tras segundo día c…"
107,NadiaRebeLanz,"RT @Dayanakrays: #27Feb #SinLuz Ahora: 8:50 pm Edificios de la Av. Fuerzas Armadas, esquina Socorro, tocan cacerolas tras segundo día co…"
108,taniaortega,"RT @CarlosJRojas13: Insultante que mis vecinos de #Altagracia y #LaCandelaria norte inicien la semana #sinluz,desde la medianoche de este #…"
109,darwinplus,"RT @ReporteYa: #27Feb 8:50 PM #Caracas #SinLuz @Dayanakrays: Edificios de la Av. Fuerzas Armadas, esquina Socorro, tocan cacerolas tras se…"
110,MOPEPA13,"RT @ReporteYa: #27Feb 8:56 PM #Caracas #SinLuz@IsmaelAMataR: ""Vecinos reporta que en parte de la Av Páez, El Pinar, Las Fuentes de El Para…"
111,federicoalves,"RT @ReporteYa: #27Feb 8:50 PM #Caracas #SinLuz @Dayanakrays: Edificios de la Av. Fuerzas Armadas, esquina Socorro, tocan cacerolas tras se…"
112,ComisionPerman3,"RT @800Noticias_: #27Feb | ¡CACEROLAZO EN CARCAS!Edificios de la Av. Fuerzas Armadas, esquina Socorro, tocan cacerolas tras segundo día c…"
113,yoeddir,"RT @ReporteYa: #27Feb 8:50 PM #Caracas #SinLuz @Dayanakrays: Edificios de la Av. Fuerzas Armadas, esquina Socorro, tocan cacerolas tras se…"
114,LuisVil58217153,"RT @vivassantanaj_: Como algo rutinario en La Asunción, Isla de Margarita, Nueva Esparta nos encontramos #Sinluz. Lo normal seria pasar tod…"
115,jccorreia00,"RT @ReporteYa: #27Feb 8:50 PM #Caracas #SinLuz @Dayanakrays: Edificios de la Av. Fuerzas Armadas, esquina Socorro, tocan cacerolas tras se…"
116,soniamontes0411,"RT @ReporteYa: #27Feb 8:50 PM #Caracas #SinLuz @Dayanakrays: Edificios de la Av. Fuerzas Armadas, esquina Socorro, tocan cacerolas tras se…"
117,EUSTAQUIODOSANT,"RT @IsmaelAMataR: Vecinos reporta que en parte de la Av Páez, El Pinar, Las Fuentes del #ElParaíso #Caracas se encuentran #SinLuz desde var…"
118,concepcion2360,RT @ReporteYa: #27Feb 8:59 PM #Caracas #SinLuz Fallas en el servicio eléctrico en Caracas generan cacerolazos.Se reporta intermitencia d…
