,Usuario,Tweet
109,DanyelGPhoto,"RT @CesarMorenoH: Identifican al hombre que intento atentar contra Cristina Kirchner:➡️Es un hombre de 35 años, de origen brasileño… Su n…"
110,Fraanalon,"RT @lqmhr: - ¿Estás viendo la Cadena Nacional de Alberto por el intento de atentado a Cristina?- Sí, es increíble. https://t.co/4SJxOf5iqU"
111,Matias_Solas,RT @0800_Cj: El mamahuevo que le apunto a Cristina si el tiro hubiese salido: https://t.co/wGmtqVwj4s
112,piazza_cristian,"RT @troglioneta: Amigo no se dimensiona lo MONTONAZO que es esto, desde que le hayan puesto una 9 en la sien a Cristina hasta que no haya s…"
113,josdav91,"RT @C5N: 🔴 Esta es la persona que quiso matar a Cristina Kirchner-Es un hombre de 35 años, de origen brasileño. -Su nombre es Fernando S…"
114,patonlolo,"RT @sima3_ave: La última vez que gano la eleccion para presidente se victimizó, la viuda doliente , ayer lanzan la idea de Cristina 2023 y…"
115,IsmaaRulooLopez,"RT @AlertaNews24: 🇦🇷 | DATO: La vicepresidenta argentina Cristina Kirchner tienes 100 agentes de seguridad a su servicio, el mayor número d…"
116,Nawelo_,RT @donnatefah: un fiscal se suicida: lo mato cristinaintentan matar a cristina: fue cristina
117,pablomontagna,RT @LANACION: El momento en el que apuntaron a Cristina Kirchner https://t.co/7zKOD3IzFr
118,damian80as,"RT @TITO_88CAI: Jajaja quien se puede creer que quisieron matar a Cristina, totalmente armado para hacerse la víctima la vieja hija de mil…"
119,DaniQuintana80,RT @frabigol: Sudanalytics viendo como Cristina tiene 1/1 disparos desviados https://t.co/ZTdnPjbgH3
120,memoriacorta,"RT @AlinaDuarte_: Para todas y todos esos tibios que en estos momentos claves en Argentina se abstuvieron de apoyar a Cristina, ya vieron q…"
121,abjoseorue,"RT @jmkarg: Atención América Latina, atención mundo: esta noche le gatillaron a Cristina Fernández de Kirchner, dos veces presidenta de la…"
122,saccarias,"RT @AntoBartolozzi: La semana pasada, un diputado nacional pidió pena de muerte para Cristina. Hace unos días, otro diputado abiertamente t…"
123,SilvinaVeinte21,RT @yani_griega: #ParoYMovilizacion#ParaProtegerACristinaEl pueblo con Cristina! https://t.co/oWHeNkKis1
124,m_soldati,RT @GeorgMarques: Sinto-me envergonhado de ser brasileiro e saber que um compatriota por pouco não assassinou a VP da Argentina Cristina Ki…
125,Andres33860023,RT @pia_dmn: Deben estar felices quienes militaron fervientemente para que algún demente quiera ir a matar a Cristina. Los moviliza el odio…
126,isaacjimenez_11,"RT @Fariacrt: Desde la República Bolivariana de Venezuela repudiamos el nefasto ataque en contra de la Vicepresidenta @CFKArgentina, por pa…"
127,isabeldebrito2,"RT @eixopolitico: 🇦🇷 AGORA: Alberto Fernandez, presidente da Argentina, convoca pronunciamento urgente em cadeia de rádio e TV após a vice-…"
128,felipe_888,"RT @jmkarg: Atención América Latina, atención mundo: esta noche le gatillaron a Cristina Fernández de Kirchner, dos veces presidenta de la…"
129,Lari4L,"RT @randolfeap: ABSURDO! Nossa solidariedade à vice-presidente da Argentina Cristina Kirchner, que sofreu uma tentativa de assassinato. O d…"
130,arajatablas,"RT @MundoEConflicto: 🔴 #AHORA | Nuevas imágenes del intento de magnicidio contra la vicepresidenta argentina, Cristina Fernández.https://t…"
131,FernandoRizza,"RT @AguileraLucas77: Quieren matar a lo q representa el puntos mas alto d la política Latinoamericana y global.Cristina es nuestra ""Idea""…"
132,radiosgruponet,Detuvieron a un hombre que intentó disparar a Cristina Fernández de Kirchner con un arma https://t.co/zV1kVPkm3V vía @GN Noticias
133,angelbot283,RT @JorgeAleman1951: El disparo que intenta el tipo contra Cristina es la consecuencia en acto del discurso de las derechas
134,crisqoficial,@todonoticias El circo este solo se lo creen los militontos de Cristina. Sabe que está condenada y tiene que hacers… https://t.co/zrVkAsqOUL
135,El_Tabano_01,"RT @LuisGasulla: El que sale a buscar al agresor de la Vice es Diego Bermudez, el secretario personal de Cristina Kirchner, el que hablaba…"
136,mgambetta1988,"ven que tengo razon, cristina mato a nisman y no movio el amperimetro, que majul lo diga solamente me da la razon https://t.co/pHKjBda5hR"
